SCALERANK,NAME,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,LATITUDE,LONGITUDE,POP_MAX,POP_MIN
7,Greenville,United States,USA,United States of America,USA,Mississippi,US,33.41037539,-91.06168746,38107,34972
6,Vicksburg,United States,USA,United States of America,USA,Mississippi,US,32.3524813,-90.8777452,25701,23638
7,San Jose,Guatemala,GTM,Guatemala,GTM,Escuintla,GT,13.93972958,-90.82003203,18655,9841
10,Chimaltenango,Guatemala,GTM,Guatemala,GTM,Chimaltenango,GT,14.66199914,-90.8199985,82370,82370
7,Escuintla,Guatemala,GTM,Guatemala,GTM,Escuintla,GT,14.30040489,-90.77999923,107638,103165
10,Antigua Guatemala,Guatemala,GTM,Guatemala,GTM,Sacatepéquez,GT,14.5666981,-90.73330161,39368,39368
7,Champotón,Mexico,MEX,Mexico,MEX,Campeche,MX,19.35043256,-90.72000289,26636,24809
7,Houma,United States,USA,United States of America,USA,Louisiana,US,29.59593121,-90.71948613,64592,31800
7,Jonesboro,United States,USA,United States of America,USA,Arkansas,US,35.84257835,-90.70416406,58619,58025
4,Chesterfield Inlet,Canada,CAN,Canada,CAN,Nunavut,CA,63.33829022,-90.70008163,374,374
7,Dubuque,United States,USA,United States of America,USA,Iowa,US,42.50093162,-90.66445073,62483,57185
7,Davenport,United States,USA,United States of America,USA,Iowa,US,41.55398684,-90.58753036,255738,100827
8,Rock Island,United States,USA,United States of America,USA,Illinois,US,41.49339622,-90.53461369,165728,38383
3,Guatemala,Guatemala,GTM,Guatemala,GTM,Guatemala,GT,14.62113466,-90.52696558,1024000,994938
7,St. Charles,United States,USA,United States of America,USA,Missouri,US,38.78428509,-90.50616581,360485,65794
8,Tomah,United States,USA,United States of America,USA,Wisconsin,US,43.98505292,-90.50389205,12997,8596
8,Paragould,United States,USA,United States of America,USA,Arkansas,US,36.05708722,-90.50288436,23450,22322
4,Campeche,Mexico,MEX,Mexico,MEX,Campeche,MX,19.82998985,-90.49999048,205212,202885
7,Poplar Bluff,United States,USA,United States of America,USA,Missouri,US,36.76019676,-90.40268376,20662,16488
8,Cobán,Guatemala,GTM,Guatemala,GTM,Alta Verapaz,GT,15.46999758,-90.3799978,65194,53375
8,Galesburg,United States,USA,United States of America,USA,Illinois,US,40.94777061,-90.37108362,32094,32063
